code,name,ccy
MMM,3M,USD
AOS,A. O. Smith,USD
ABT,Abbott Laboratories,USD
ABBV,AbbVie,USD
ACN,Accenture,USD
ADBE,Adobe Inc.,USD
AMD,Advanced Micro Devices,USD
AES,AES Corporation,USD
AFL,Aflac,USD
A,Agilent Technologies,USD
APD,Air Products,USD
ABNB,Airbnb,USD
AKAM,Akamai Technologies,USD
ALB,Albemarle Corporation,USD
ARE,Alexandria Real Estate Equities,USD
ALGN,Align Technology,USD
ALLE,Allegion,USD
LNT,Alliant Energy,USD
ALL,Allstate,USD
GOOGL,Alphabet Inc. (Class A),USD
GOOG,Alphabet Inc. (Class C),USD
MO,Altria,USD
AMZN,Amazon,USD
AMCR,Amcor,USD
AEE,Ameren,USD
AEP,American Electric Power,USD
AXP,American Express,USD
AIG,American International Group,USD
AMT,American Tower,USD
AWK,American Water Works,USD
AMP,Ameriprise Financial,USD
AME,Ametek,USD
AMGN,Amgen,USD
APH,Amphenol,USD
ADI,Analog Devices,USD
AON,Aon plc,USD
APA,APA Corporation,USD
APO,Apollo Global Management,USD
AAPL,Apple Inc.,USD
AMAT,Applied Materials,USD
APP,AppLovin,USD
APTV,Aptiv,USD
ACGL,Arch Capital Group,USD
ADM,Archer Daniels Midland,USD
ARES,Ares Management,USD
ANET,Arista Networks,USD
AJG,Arthur J. Gallagher & Co.,USD
AIZ,Assurant,USD
T,AT&T,USD
ATO,Atmos Energy,USD
ADSK,Autodesk,USD
ADP,Automatic Data Processing,USD
AZO,AutoZone,USD
AVB,AvalonBay Communities,USD
AVY,Avery Dennison,USD
AXON,Axon Enterprise,USD
BKR,Baker Hughes,USD
BALL,Ball Corporation,USD
BAC,Bank of America,USD
BAX,Baxter International,USD
BDX,Becton Dickinson,USD
BRKB,Berkshire Hathaway,USD
BBY,Best Buy,USD
TECH,Bio-Techne,USD
BIIB,Biogen,USD
BLK,BlackRock,USD
BX,Blackstone Inc.,USD
XYZ,"Block, Inc.",USD
BNY,BNY Mellon,USD
BA,Boeing,USD
BKNG,Booking Holdings,USD
BSX,Boston Scientific,USD
BMY,Bristol Myers Squibb,USD
AVGO,Broadcom,USD
BR,Broadridge Financial Solutions,USD
BRO,Brown & Brown,USD
BFB,Brown–Forman,USD
BLDR,Builders FirstSource,USD
BG,Bunge Global,USD
BXP,"BXP, Inc.",USD
CHRW,C.H. Robinson,USD
CDNS,Cadence Design Systems,USD
CPT,Camden Property Trust,USD
COF,Capital One,USD
CAH,Cardinal Health,USD
CCL,Carnival Corporation,USD
CARR,Carrier Global,USD
CVNA,Carvana,USD
CASY,Casey's,USD
CAT,Caterpillar Inc.,USD
CBOE,Cboe Global Markets,USD
CBRE,CBRE Group,USD
CDW,CDW Corporation,USD
COR,Cencora,USD
CNC,Centene Corporation,USD
CNP,CenterPoint Energy,USD
CF,CF Industries,USD
CRL,Charles River Laboratories,USD
SCHW,Charles Schwab Corporation,USD
CHTR,Charter Communications,USD
CVX,Chevron Corporation,USD
CMG,Chipotle Mexican Grill,USD
CB,Chubb Limited,USD
CHD,Church & Dwight,USD
CIEN,Ciena,USD
CI,Cigna,USD
CINF,Cincinnati Financial,USD
CTAS,Cintas,USD
CSCO,Cisco,USD
C,Citigroup,USD
CFG,Citizens Financial Group,USD
CLX,Clorox,USD
CME,CME Group,USD
CMS,CMS Energy,USD
KO,Coca-Cola Company (The),USD
CTSH,Cognizant,USD
COHR,Coherent Corp.,USD
COIN,Coinbase,USD
CL,Colgate-Palmolive,USD
CMCSA,Comcast,USD
FIX,Comfort Systems USA,USD
CAG,Conagra Brands,USD
COP,ConocoPhillips,USD
ED,Consolidated Edison,USD
STZ,Constellation Brands,USD
CEG,Constellation Energy,USD
COO,Cooper Companies (The),USD
CPRT,Copart,USD
GLW,Corning Inc.,USD
CPAY,Corpay,USD
CTVA,Corteva,USD
CSGP,CoStar Group,USD
COST,Costco,USD
